date,channel,impressions,clicks,conversions,spend,cpc,conversion_rate,revenue,roas,ctr,cpa,revenue_per_conversion
2024-10-02 11:48:19.990260,Paid Search,10277,224,9,281.23,1.26,0.0415,973.27,3.46,0.02179624404008952,31.24777777777778,108.14
2024-10-02 11:48:19.990260,Social Media,36213,1385,23,517.2,0.37,0.0169,1548.53,2.99,0.03824593378068649,22.48695652173913,67.33
2024-10-02 11:48:19.990260,Display Ads,7172,128,3,96.13,0.75,0.0243,204.95,2.13,0.01784718349135527,32.04333333333333,68.32
2024-10-02 11:48:19.990260,Email Marketing,13492,625,21,308.53,0.49,0.0346,2435.14,7.89,0.04632374740587015,14.69190476190476,115.96
2024-10-02 11:48:19.990260,Affiliate Marketing,6197,211,5,372.09,1.76,0.0245,445.96,1.2,0.034048733258028076,74.41799999999999,89.19
2024-10-03 11:48:19.990260,Paid Search,8765,351,10,329.96,0.94,0.0308,1091.68,3.31,0.04004563605248146,32.995999999999995,109.17
2024-10-03 11:48:19.990260,Social Media,44086,768,17,354.31,0.46,0.0231,1240.11,3.5,0.017420496302681124,20.841764705882355,72.95
2024-10-03 11:48:19.990260,Display Ads,7922,92,1,39.3,0.43,0.0212,44.09,1.12,0.011613228982580156,39.3,44.09
2024-10-03 11:48:19.990260,Email Marketing,9149,349,16,92.96,0.27,0.0485,1921.47,20.67,0.03814624549131052,5.81,120.09
2024-10-03 11:48:19.990260,Affiliate Marketing,4370,207,4,491.55,2.37,0.0216,338.46,0.69,0.04736842105263158,122.8875,84.61
2024-10-04 11:48:19.990260,Paid Search,7825,238,9,457.56,1.92,0.0392,1086.96,2.38,0.030415335463258787,50.84,120.77
2024-10-04 11:48:19.990260,Social Media,7270,95,2,120.84,1.27,0.0296,128.09,1.06,0.013067400275103164,60.42,64.05
2024-10-04 11:48:19.990260,Display Ads,3101,88,0,99.35,1.13,0.0109,0,0,0.02837794259916156,inf,0
2024-10-04 11:48:19.990260,Email Marketing,36440,404,26,68.53,0.17,0.0648,3110.25,45.39,0.011086717892425905,2.6357692307692306,119.62
2024-10-04 11:48:19.990260,Affiliate Marketing,2109,52,2,112.64,2.17,0.0446,196.15,1.74,0.024656235182550973,56.32,98.08
2024-10-05 11:48:19.990260,Paid Search,2407,52,2,103.29,1.99,0.0465,188.47,1.82,0.02160365600332364,51.645,94.23
2024-10-05 11:48:19.990260,Social Media,8187,344,10,596.85,1.74,0.0295,666.16,1.12,0.042017833150116035,59.685,66.62
2024-10-05 11:48:19.990260,Display Ads,11822,337,9,247.95,0.74,0.0282,534.97,2.16,0.02850617492810015,27.549999999999997,59.44
2024-10-05 11:48:19.990260,Email Marketing,16439,563,28,147.12,0.26,0.0505,3361.36,22.85,0.03424782529350934,5.2542857142857144,120.05
2024-10-05 11:48:19.990260,Affiliate Marketing,8506,246,5,201.15,0.82,0.0205,526.88,2.62,0.028920761815189277,40.230000000000004,105.38
2024-10-06 11:48:19.990260,Paid Search,3153,71,1,174.52,2.46,0.0238,138.65,0.79,0.02251823660006343,174.52,138.65
