date,channel,spend,impressions,clicks,conversions,revenue,roas,ctr
2024-10-31,Affiliate Marketing,7304.88,194172,5682,202,0.0,0.0,0.029262715530560535
2024-10-31,Display Ads,6795.5199999999995,415066,12829,268,0.0,0.0,0.030908337469221763
2024-10-31,Email Marketing,4752.34,561513,18968,916,0.0,0.0,0.03378016181281644
2024-10-31,Paid Search,9385.18,227947,6747,237,0.0,0.0,0.029598985729138792
2024-10-31,Social Media,11270.18,496648,13555,380,0.0,0.0,0.02729297208485688
2024-11-30,Affiliate Marketing,7218.62,219498,6949,282,0.0,0.0,0.031658602811870724
2024-11-30,Display Ads,5657.54,339061,8776,171,0.0,0.0,0.02588324814708858
2024-11-30,Email Marketing,5115.79,733682,24359,1439,0.0,0.0,0.03320103259995475
2024-11-30,Paid Search,8576.88,227735,6155,210,0.0,0.0,0.02702702702702703
2024-11-30,Social Media,11984.59,591486,14729,377,0.0,0.0,0.024901688290170858
2024-12-31,Affiliate Marketing,7399.81,204508,6018,263,0.0,0.0,0.029426721693038903
2024-12-31,Display Ads,6526.5599999999995,311202,8798,162,0.0,0.0,0.02827102653581918
2024-12-31,Email Marketing,4354.61,674074,18066,986,0.0,0.0,0.026801211736396893
2024-12-31,Paid Search,9714.92,183124,5366,172,0.0,0.0,0.02930254909241825
2024-12-31,Social Media,14556.67,553725,16400,429,0.0,0.0,0.029617589958914625
2025-01-31,Affiliate Marketing,6770.91,239364,6719,254,0.0,0.0,0.028070219414782507
2025-01-31,Display Ads,9011.97,342468,11254,214,0.0,0.0,0.03286146442879335
2025-01-31,Email Marketing,5881.4400000000005,924900,27780,1508,0.0,0.0,0.03003567953292248
2025-01-31,Paid Search,11032.64,282894,9284,293,0.0,0.0,0.032817945944417344
2025-01-31,Social Media,15860.79,635560,21448,653,0.0,0.0,0.033746617156523384
2025-02-28,Affiliate Marketing,5673.07,211154,5750,207,0.0,0.0,0.02723130984968317
2025-02-28,Display Ads,8916.65,363187,12515,236,0.0,0.0,0.034458832502264676
2025-02-28,Email Marketing,5066.89,756711,21410,1127,0.0,0.0,0.02829349646033955
2025-02-28,Paid Search,9033.51,264647,7006,226,0.0,0.0,0.026472999882862832
2025-02-28,Social Media,14192.23,489588,14755,393,0.0,0.0,0.03013758507152953
2025-03-31,Affiliate Marketing,7526.53,179887,5688,233,0.0,0.0,0.031619850239316905
2025-03-31,Display Ads,7249.76,392101,11235,228,0.0,0.0,0.028653331667095976
2025-03-31,Email Marketing,5470.85,675037,20600,1066,0.0,0.0,0.03051684574327037
2025-03-31,Paid Search,11830.56,260096,7773,249,0.0,0.0,0.029885119340551183
2025-03-31,Social Media,17046.88,434923,13567,380,0.0,0.0,0.031194027448536867
